Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Kingara, Simon Nganga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/fae60ae7df930361d387c921e7911069_M.jpg,Kiambu,Ruiru,JP,Elected
"Hon. Kingi, Michael Thoyah",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/384d40a35806de1d1fe854b3ee846eec_M.jpg,Kilifi,Magarini,ODM,Elected
"Hon. Kioni, Jeremiah Ng’ayu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6531b8388fa2ad0f5c5aba34b81863bb_M.jpg,Nyandarua,Ndaragwa,JP,Elected
"Hon. Kipkiror, William Cheptumo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/81e88cc0ea51deee3c244a6338205ec0_M.jpg,Baringo,Baringo North,JP,Elected
"Hon. Kipkosgei, Joseph Tonui",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/02b93e40a87f77a216584ee602e530cc_M.jpg,Nakuru,Kuresoi South,JP,Elected
"Hon. Kipyegon, Johana Ngeno",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/83f568eba26f72d953890f7053aa6edf_M.jpg,Narok,Emurua Dikirr,KANU,Elected
"Hon. Kirima, Moses Nguchine",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e2d733482b305304240a334a4d695c6b_M.jpg,Meru,Central Imenti,JP,Elected
"Hon. Kisang, William Kipkemoi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ca581b6d1396a912166c447ce59cde17_M.jpg,Elgeyo-Marakwet,Marakwet West,JP,Elected
"Hon. Kitayama, Marwa Kemero Maisori",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/11d123796086c1d809e731bf566e453d_M.jpg,Migori,Kuria East,JP,Elected
"Hon. Kiti, Richard Ken Chonga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/295fdc87d658f559ef2cffb7fe8f65ee_M.jpg,Kilfi,Kilifi South,ODM,Elected
"Hon. Kivai, Ernest Ogesi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9d7c2d4b3357e7ba03c3b8ad3fb9a8b0_M.jpg,Vihiga,Vihiga,ANC,Elected
"Hon. Koech, Nelson",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ac37d23a1bfab39ff0118c3645959b54_M.jpg,Kericho,Belgut,JP,Elected
"Hon. Kogo, Wilson Kipngetich",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0b9af8663810178a91c6ebea9711fcd6_M.jpg,Nandi,Chesumei,JP,Elected
"Hon. Koinange, Paul",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a52e3ba5cfb0a714deff40836e2eda7e_M.jpg,Kiambu,Kiambaa,N\/A,Elected
"Hon. Konchela, Gideon Sitelu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/fe7ba1caaed873cdbf5005a34108c0b8_M.jpg,Narok,Kilgoris,JP,Elected
"Hon. Kones, Beatrice Pauline Cherono",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ff6f995ca52e8cb4d412e7c56015c435_M.jpg,Bomet,Bomet East,JP,Elected
"Hon. Korere, Sarah Paulata",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/03ef9152d82e5bb58ebe9973fc1e07bc_M.jpg,Laikipia,Laikipia North,N\/A,Elected
"Hon. Korir, Generali Nixon Kiprotich",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e78c46e17fcaf25ae5e3fd895121344b_M.jpg,Nairobi,Lang'ata,JP,Elected
"Hon. Koros, Benard Kipsengeret",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0a434987072cff0c2790d532730a5ea1_M.jpg,Kericho,Sigowet\/Soin,IND,Elected
