lat,commodity,price,date,location,units,lon
-1.2920659,Beans,3760.00,2006-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4310.00,2006-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4505.00,2006-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3017.00,2006-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2760.00,2006-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2887.00,2006-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3093.00,2006-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3280.00,2006-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3032.00,2006-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3078.00,2006-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3107.00,2007-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,2810.00,2007-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3056.00,2007-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3016.00,2007-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3071.00,2007-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3083.00,2007-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3261.00,2007-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3148.00,2007-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3237.00,2007-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3023.00,2007-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3300.00,2007-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4350.00,2007-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3700.00,2008-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,3800.00,2008-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4980.00,2008-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5373.00,2008-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5310.00,2008-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5093.00,2008-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4962.00,2008-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4771.00,2008-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4800.00,2008-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4940.00,2008-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5019.00,2008-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4719.00,2008-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4825.00,2009-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4910.00,2009-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4800.00,2009-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4830.00,2009-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5425.00,2009-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5050.00,2009-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4500.00,2009-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4435.00,2009-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4600.00,2009-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4688.00,2009-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4920.00,2009-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4776.00,2009-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4592.00,2010-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4248.00,2010-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4672.00,2010-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4764.00,2010-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4800.00,2010-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4730.00,2010-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4664.00,2010-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4452.00,2010-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4400.00,2010-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4450.00,2010-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4455.00,2010-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4752.00,2010-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4730.00,2011-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4677.00,2011-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5185.00,2011-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,7287.00,2011-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,7127.00,2011-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,6285.00,2011-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,4945.00,2011-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5487.00,2011-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,6846.00,2011-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5918.00,2011-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5580.00,2011-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5666.00,2011-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5340.00,2012-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5780.00,2012-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5950.00,2012-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,6075.00,2012-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,6370.00,2012-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,6240.00,2012-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5290.00,2012-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5150.00,2012-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Beans,5356.00,2012-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,NA,2000-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,1156.00,2001-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,850.00,2001-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,733.00,2001-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,772.00,2001-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,1008.00,2001-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,964.00,2001-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,963.00,2001-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,1079.00,2001-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,Potatoes,1200.00,2001-09-09,Nairobi,90 kg bag,36.8219462
